latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80685,-0.25767,2026-06-18 01:45:00,0.27214236437976574,203.29113948725214,n,301.84,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
35.80495,-0.24245,2026-06-18 01:45:00,0.9705122401193089,114.23535100382979,n,304.1,morocco
